"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LINC00486",0,14.7587769382463,1,0,0,"LINC00486"
"ATP6V0C",0,6.94878776662605,0.993,0.014,0,"ATP6V0C"
"RPS10",0,-13.2738743151606,0,0.917,0,"RPS10"
"HNRNPA1",0,-13.2561130340583,0,0.913,0,"HNRNPA1"
"EEF1G",0,3.86300866271423,0.964,0.076,0,"EEF1G"
"TRAPPC5",0,3.95374118164111,0.956,0.07,0,"TRAPPC5"
"RNASEK",0,3.61464718873817,0.993,0.111,0,"RNASEK"
"VPS13B",0,3.68705098949932,0.952,0.076,0,"VPS13B"
"PDE4B",0,3.93064600071856,0.958,0.089,0,"PDE4B"
"DOCK4",0,3.79027873845588,0.989,0.125,0,"DOCK4"
"TMEM117",0,4.09329319800829,0.924,0.062,0,"TMEM117"
"NME2",0,3.5120482920326,0.942,0.102,0,"NME2"
"RAD51B",0,3.98936360426147,0.892,0.067,0,"RAD51B"
"UBE2V1",0,3.57514356013894,0.873,0.053,0,"UBE2V1"
"PSD3",0,3.27276432915228,0.964,0.144,0,"PSD3"
"FMN1",0,3.21213298977616,0.97,0.151,0,"FMN1"
"DISP1",0,3.53916285510996,0.91,0.093,0,"DISP1"
"MAGI1",0,3.98624700704588,0.883,0.067,0,"MAGI1"
"FTX",0,2.84059273806247,0.945,0.133,0,"FTX"
"HIGD2A",0,-12.8625243259034,0,0.81,0,"HIGD2A"
"ETV6",0,2.88594990841719,0.938,0.132,0,"ETV6"
"GAB2",0,2.8447235678427,0.955,0.15,0,"GAB2"
"CD163L1",0,3.03978968429822,0.973,0.172,0,"CD163L1"
"SLC16A10",0,3.76491065254472,0.893,0.093,0,"SLC16A10"
"ANKHD1",0,2.85203049656269,0.903,0.104,0,"ANKHD1"
"SIK3",0,3.28032466672934,0.869,0.073,0,"SIK3"
"COG5",0,2.96391270017221,0.902,0.106,0,"COG5"
"MCTP1",0,2.94724617397426,0.909,0.114,0,"MCTP1"
"SLC8A1",0,3.10959651009403,0.938,0.145,0,"SLC8A1"
"CDKAL1",0,3.43700974489786,0.866,0.074,0,"CDKAL1"
"PTPRM",0,2.85858249737735,0.93,0.138,0,"PTPRM"
"SBF2",0,2.86307820852745,0.976,0.184,0,"SBF2"
"ME1",0,4.59366017289678,0.824,0.035,0,"ME1"
"DISC1",0,2.89463914834594,0.938,0.151,0,"DISC1"
"TEC",0,3.28476315385604,0.855,0.069,0,"TEC"
"AFF1",0,2.49531564727032,0.959,0.173,0,"AFF1"
"ATXN1",0,2.50354075847321,0.944,0.16,0,"ATXN1"
"MBD5",0,2.97452007607618,0.896,0.115,0,"MBD5"
"FER",0,2.94306932522606,0.881,0.101,0,"FER"
"DHFR",0,3.10491213606774,0.979,0.2,0,"DHFR"
"GTDC1",0,3.31221407603965,0.866,0.088,0,"GTDC1"
"DLEU2",0,3.36356817887339,0.861,0.083,0,"DLEU2"
"SPIDR",0,2.85702417994096,0.89,0.112,0,"SPIDR"
"MGAT5",0,2.7228447494229,0.977,0.201,0,"MGAT5"
"EXOC4",0,2.79006821679926,0.954,0.178,0,"EXOC4"
"IFI30",0,2.73042001607889,0.906,0.132,0,"IFI30"
"ZNF609",0,2.68611359106643,0.901,0.127,0,"ZNF609"
"MAP3K5",0,2.79198649774184,0.884,0.112,0,"MAP3K5"
"DENND1A",0,2.85622259508772,0.988,0.217,0,"DENND1A"
"TRPS1",0,2.64678984618879,0.962,0.192,0,"TRPS1"
"FAF1",0,2.84639262733745,0.885,0.116,0,"FAF1"
"SYT1",0,2.74358465748787,0.951,0.182,0,"SYT1"
"PSMA6",0,2.44850461104458,0.91,0.142,0,"PSMA6"
"VAV3",0,2.6749338351539,0.966,0.199,0,"VAV3"
"EEPD1",0,3.05219271294353,0.84,0.074,0,"EEPD1"
"ITGA9",0,3.58782006103051,0.816,0.05,0,"ITGA9"
"TBC1D5",0,2.62001468937676,0.974,0.21,0,"TBC1D5"
"USP32",0,2.42939307484726,0.9,0.136,0,"USP32"
"MAML2",0,2.76009980540895,0.985,0.222,0,"MAML2"
"EXOC6B",0,3.70871274369602,0.822,0.059,0,"EXOC6B"
"NLK",0,2.60234658923767,0.89,0.128,0,"NLK"
"TRAPPC9",0,3.17089961130275,0.838,0.076,0,"TRAPPC9"
"CHST11",0,2.66757915876073,0.905,0.144,0,"CHST11"
"KIF13A",0,2.56709264251921,0.887,0.126,0,"KIF13A"
"P3H2",0,2.81683370071727,0.892,0.133,0,"P3H2"
"PRDX2",0,-12.7056721284708,0,0.757,0,"PRDX2"
"VTI1A",0,2.5619978874719,0.906,0.152,0,"VTI1A"
"ERC1",0,2.77777817970998,0.87,0.117,0,"ERC1"
"ELL2",0,2.75952960286678,0.867,0.116,0,"ELL2"
"STAG1",0,2.3643320023233,0.948,0.198,0,"STAG1"
"ANKS1A",0,2.24177593005259,0.919,0.17,0,"ANKS1A"
"AMBRA1",0,3.43832785574638,0.8,0.054,0,"AMBRA1"
"FAM172A",0,2.7939132954114,0.845,0.101,0,"FAM172A"
"PDGFC",0,2.41201369864411,0.955,0.213,0,"PDGFC"
"ELMO1",0,2.41299130617446,0.954,0.212,0,"ELMO1"
"SRGAP1",0,2.63489985287704,0.87,0.128,0,"SRGAP1"
"TLR1",0,2.2454370461148,0.863,0.122,0,"TLR1"
"RPS6KC1",0,2.6540236828322,0.832,0.093,0,"RPS6KC1"
"MERTK",0,2.20738666013914,0.912,0.174,0,"MERTK"
"CR1",0,2.54981130199411,0.936,0.198,0,"CR1"
"TRIO",0,2.46316676257818,0.857,0.121,0,"TRIO"
"LDLRAD4",0,2.32974339291305,0.898,0.162,0,"LDLRAD4"
"MCTP2",0,2.40274308889264,0.896,0.16,0,"MCTP2"
"DIAPH2",0,2.39499687686739,0.951,0.217,0,"DIAPH2"
"RALGPS2",0,2.82912434472938,0.838,0.104,0,"RALGPS2"
"TLR2",0,2.5774679060649,0.855,0.121,0,"TLR2"
"SSH2",0,2.3849032060049,0.893,0.16,0,"SSH2"
"ATP8B4",0,2.586024536763,0.973,0.241,0,"ATP8B4"
"DSE",0,2.17218950993962,0.909,0.178,0,"DSE"
"SIPA1L1",0,4.70278757844359,0.764,0.033,0,"SIPA1L1"
"FAM168A",0,2.49995486058694,0.851,0.12,0,"FAM168A"
"MYO5A",0,2.21575368421119,0.978,0.247,0,"MYO5A"
"GNG10",0,3.10684041125135,0.791,0.061,0,"GNG10"
"ARAP2",0,2.43573829621723,0.86,0.131,0,"ARAP2"
"SIPA1L2",0,2.44026740499955,0.843,0.116,0,"SIPA1L2"
"EDA",0,3.12162556658109,0.8,0.074,0,"EDA"
"ARIH1",0,2.08733486462091,0.917,0.191,0,"ARIH1"
"PAN3",0,2.32133927246078,0.878,0.153,0,"PAN3"
"MIR646HG",0,4.57940519403796,0.752,0.028,0,"MIR646HG"
"RNF111",0,2.18668282386955,0.863,0.139,0,"RNF111"
"HERC1",0,2.26872663865431,0.873,0.149,0,"HERC1"
"UTRN",0,2.28465439356249,0.915,0.192,0,"UTRN"
"ZFAND3",0,2.45272615877419,0.994,0.272,0,"ZFAND3"
"MAN2B1",0,3.09860047863765,0.775,0.054,0,"MAN2B1"
"EIF4G3",0,2.336391037991,0.983,0.264,0,"EIF4G3"
"PHF21A",0,2.82506634529934,0.805,0.087,0,"PHF21A"
"MKLN1",0,1.99062040815112,0.94,0.222,0,"MKLN1"
"PRKCA",0,2.38415223012154,0.973,0.257,0,"PRKCA"
"NCOA1",0,2.10363785473557,0.902,0.187,0,"NCOA1"
"NT5C2",0,2.10647902273285,0.885,0.17,0,"NT5C2"
"PTPRJ",0,2.10094522874527,0.975,0.261,0,"PTPRJ"
"DIP2B",0,2.19312100937439,0.976,0.262,0,"DIP2B"
"UBR5",0,2.19305465405607,0.853,0.139,0,"UBR5"
"USP34",0,1.99031833329988,0.892,0.179,0,"USP34"
"EYA2",0,2.85436804571132,0.808,0.097,0,"EYA2"
"NF1",0,2.02000111012527,0.94,0.23,0,"NF1"
"CD44",0,2.3697735437506,0.863,0.156,0,"CD44"
"ARID2",0,2.24233513522288,0.839,0.132,0,"ARID2"
"NCKAP5",0,4.79972218761125,0.733,0.026,0,"NCKAP5"
"COX16",0,2.18955305008309,0.836,0.131,0,"COX16"
"DYM",0,2.42554330153159,0.833,0.128,0,"DYM"
"STK3",0,2.11698118693905,0.914,0.21,0,"STK3"
"FCHSD2",0,2.71368382140744,0.992,0.289,0,"FCHSD2"
"SMYD3",0,2.79320503056539,0.831,0.128,0,"SMYD3"
"BIRC6",0,1.93941585105014,0.962,0.26,0,"BIRC6"
"DENND4C",0,2.11290931631145,0.848,0.147,0,"DENND4C"
"AGFG1",0,2.05561139202775,0.943,0.243,0,"AGFG1"
"FBXL17",0,2.84133276124471,0.789,0.09,0,"FBXL17"
"KDM6A",0,2.45574842469874,0.799,0.101,0,"KDM6A"
"TGFBR2",0,1.81905234231646,0.953,0.255,0,"TGFBR2"
"KDM4C",0,2.76045561741864,0.775,0.078,0,"KDM4C"
"WDFY3",0,2.44257750617449,0.984,0.288,0,"WDFY3"
"RASA2",0,2.30701075023236,0.824,0.128,0,"RASA2"
"PIK3R5",0,2.187183559634,0.821,0.125,0,"PIK3R5"
"ATP9B",0,2.53402445665019,0.793,0.098,0,"ATP9B"
"ARHGAP26",0,2.44228714926881,0.988,0.293,0,"ARHGAP26"
"TCF12",0,2.39492651064844,0.989,0.294,0,"TCF12"
"BACH1",0,1.92632258213595,0.911,0.217,0,"BACH1"
"KDM2A",0,1.79776786704413,0.91,0.216,0,"KDM2A"
"UTY",0,4.32354424032674,0.721,0.027,0,"UTY"
"ZSWIM6",0,2.29288337201193,0.981,0.288,0,"ZSWIM6"
"WDR70",0,1.97371914099089,0.862,0.169,0,"WDR70"
"TMCC1",0,2.30711817826043,0.823,0.131,0,"TMCC1"
"JAK2",0,1.80101143690868,0.887,0.195,0,"JAK2"
"KIAA0232",0,2.08235795114377,0.826,0.134,0,"KIAA0232"
"BNC2",0,2.89586659593207,0.779,0.088,0,"BNC2"
"GSK3B",0,1.98605888748902,0.893,0.202,0,"GSK3B"
"RAPGEF6",0,2.28202245411778,0.795,0.105,0,"RAPGEF6"
"ABL1",0,1.90893439341539,0.877,0.187,0,"ABL1"
"PIKFYVE",0,1.78695980718621,0.867,0.178,0,"PIKFYVE"
"MON2",0,1.95236425777976,0.825,0.138,0,"MON2"
"SLC39A11",0,2.14259942180014,0.835,0.148,0,"SLC39A11"
"FAM13A",0,2.11646394522321,0.938,0.252,0,"FAM13A"
"VPS8",0,1.84929751811768,0.888,0.202,0,"VPS8"
"AGTPBP1",0,2.82260076181195,0.761,0.076,0,"AGTPBP1"
"ITCH",0,1.91516613799113,0.849,0.164,0,"ITCH"
"SNRPD3",0,-10.9300983115535,0.001,0.685,0,"SNRPD3"
"JARID2",0,2.01344981367491,0.876,0.192,0,"JARID2"
"CCL13",0,2.34769059000192,0.902,0.219,0,"CCL13"
"STARD13",0,2.16545339292049,0.873,0.19,0,"STARD13"
"NFIA",0,2.26503680035536,0.832,0.149,0,"NFIA"
"COX14",0,-11.3689031312695,0.001,0.683,0,"COX14"
"TBC1D22A",0,1.7499460899995,0.912,0.23,0,"TBC1D22A"
"TRPM7",0,1.84922408047036,0.847,0.165,0,"TRPM7"
"MED13L",0,1.8808013481262,0.959,0.277,0,"MED13L"
"CBLB",0,2.05385725745452,0.853,0.171,0,"CBLB"
"DMXL2",0,1.81131486152387,0.953,0.272,0,"DMXL2"
"DMXL1",0,1.86170877868056,0.846,0.166,0,"DMXL1"
"BRAF",0,2.12557086739288,0.827,0.148,0,"BRAF"
"CERS6",0,1.7546844720118,0.896,0.218,0,"CERS6"
"DPYD",0,4.16584326433985,0.727,0.049,0,"DPYD"
"TNKS",0,2.72244712153294,0.757,0.08,0,"TNKS"
"KDELR2",0,-12.4695216292669,0,0.677,0,"KDELR2"
"CLASP1",0,2.50997047877236,0.767,0.09,0,"CLASP1"
"WDR7",0,3.07637020390504,0.738,0.061,0,"WDR7"
"ARHGAP6",0,2.82649098333621,0.752,0.076,0,"ARHGAP6"
"USP25",0,2.26386654885816,0.787,0.111,0,"USP25"
"TET2",0,1.87261829463569,0.836,0.16,0,"TET2"
"C5AR1",0,1.5851063884551,0.93,0.256,0,"C5AR1"
"FBXW7",0,2.27051642110144,0.803,0.129,0,"FBXW7"
"DENND4A",0,1.83785754500095,0.926,0.252,0,"DENND4A"
"ENOX2",0,3.03345512422284,0.746,0.073,0,"ENOX2"
"PPP6R3",0,1.73292372480983,0.871,0.198,0,"PPP6R3"
"CD93",0,1.88024835796851,0.87,0.197,0,"CD93"
"PARP8",0,2.38165556982661,0.772,0.1,0,"PARP8"
"SFMBT2",0,2.28234155145233,0.806,0.134,0,"SFMBT2"
"FNDC3B",0,1.84799383258007,0.964,0.292,0,"FNDC3B"
"UBASH3B",0,1.99628974276685,0.846,0.176,0,"UBASH3B"
"NHSL1",0,3.59678307548598,0.717,0.048,0,"NHSL1"
"N4BP1",0,1.72759417464433,0.875,0.207,0,"N4BP1"
"FHIT",0,2.49870728247564,0.827,0.16,0,"FHIT"
"C18orf32",0,1.72878681554509,0.825,0.158,0,"C18orf32"
"ARL15",0,3.51100977939574,0.723,0.056,0,"ARL15"
"CUL3",0,1.65458521992498,0.87,0.204,0,"CUL3"
"SOS1",0,2.20909046738972,0.783,0.117,0,"SOS1"
"ZNF407",0,3.1158517072713,0.723,0.057,0,"ZNF407"
"RABGEF1",0,3.44146298705754,0.705,0.039,0,"RABGEF1"
"NSF",0,2.01603754188977,0.82,0.154,0,"NSF"
"ATAD2B",0,2.33309278019082,0.763,0.098,0,"ATAD2B"
"RNGTT",0,2.66404967528685,0.745,0.08,0,"RNGTT"
"STAU2",0,2.03856874787696,0.815,0.15,0,"STAU2"
"FMNL2",0,1.95231959980271,0.941,0.276,0,"FMNL2"
"ABL2",0,2.00982165900533,0.802,0.138,0,"ABL2"
"KDM7A",0,2.45186701359606,0.745,0.081,0,"KDM7A"
"CMIP",0,1.64513499260938,0.925,0.262,0,"CMIP"
"RABGAP1L",0,2.14212783798689,0.98,0.317,0,"RABGAP1L"
"NCOA2",0,1.70652401533758,0.872,0.209,0,"NCOA2"
"DOCK11",0,1.60611628303664,0.887,0.224,0,"DOCK11"
"FRMD4A",0,1.80867007710088,0.945,0.282,0,"FRMD4A"
"MAP4K3",0,2.73503047870341,0.739,0.076,0,"MAP4K3"
"INVS",0,4.23092404194458,0.695,0.032,0,"INVS"
"C2CD5",0,2.16839235003979,0.779,0.117,0,"C2CD5"
"FBXO11",0,1.59586412835006,0.924,0.262,0,"FBXO11"
"NBAS",0,2.24885266404562,0.77,0.108,0,"NBAS"
"ANKRD17",0,1.77909988104195,0.924,0.263,0,"ANKRD17"
"PCCA",0,2.66509175222574,0.744,0.083,0,"PCCA"
"CSNK1G1",0,2.34402951512639,0.754,0.093,0,"CSNK1G1"
"BAZ2B",0,1.64852265708515,0.904,0.243,0,"BAZ2B"
"RYR1",0,1.99297659633987,0.784,0.124,0,"RYR1"
"SCAPER",0,2.05011817199453,0.826,0.166,0,"SCAPER"
"TMEM131",0,1.71605770679685,0.958,0.299,0,"TMEM131"
"BTBD9",0,4.44629101277627,0.684,0.025,0,"BTBD9"
"UBR3",0,2.39224931725467,0.752,0.094,0,"UBR3"
"UVRAG",0,1.99262749083699,0.802,0.144,0,"UVRAG"
"GPS2",0,2.27824131989443,0.759,0.101,0,"GPS2"
"WDPCP",0,3.67662711185235,0.7,0.042,0,"WDPCP"
"FCHO2",0,1.76010715937788,0.826,0.168,0,"FCHO2"
"RAPGEF1",0,1.8603096742197,0.823,0.165,0,"RAPGEF1"
"HDAC8",0,2.18981551992308,0.8,0.143,0,"HDAC8"
"SGMS1",0,1.75687897802769,0.976,0.319,0,"SGMS1"
"ZMYM2",0,1.585734069287,0.87,0.213,0,"ZMYM2"
"MIR99AHG",0,3.82120380926264,0.695,0.038,0,"MIR99AHG"
"ACSL1",0,1.83250427197289,0.882,0.226,0,"ACSL1"
"PIP4K2A",0,1.61823850049908,0.937,0.281,0,"PIP4K2A"
"RERE",0,1.60810728601904,0.957,0.302,0,"RERE"
"ZBTB20",0,2.26695259675687,0.761,0.107,0,"ZBTB20"
"ANKRD44",0,1.65076262593342,0.84,0.186,0,"ANKRD44"
"LARP4B",0,1.48558737386549,0.865,0.212,0,"LARP4B"
"ABCC4",0,3.07497105584808,0.707,0.054,0,"ABCC4"
"FTO",0,2.3555753515967,0.755,0.104,0,"FTO"
"CAMKMT",0,3.57735078712069,0.696,0.045,0,"CAMKMT"
"ARID1B",0,1.4940329763451,0.935,0.285,0,"ARID1B"
"KYNU",0,2.22546529733585,0.771,0.121,0,"KYNU"
"SNX29",0,1.59883614230171,0.896,0.246,0,"SNX29"
"USP9X",0,1.53404644699111,0.903,0.254,0,"USP9X"
"SARNP",0,2.09963843808425,0.76,0.111,0,"SARNP"
"NFAT5",0,1.86466712323362,0.805,0.156,0,"NFAT5"
"SPIRE1",0,1.73868669832115,0.829,0.18,0,"SPIRE1"
"LRBA",0,3.16655128382396,0.709,0.06,0,"LRBA"
"PEAK1",0,1.48481579270417,0.927,0.278,0,"PEAK1"
"ELF2",0,1.6732768575088,0.891,0.243,0,"ELF2"
"ASH1L",0,1.62413547940013,0.912,0.264,0,"ASH1L"
"PHTF2",0,2.20577568709959,0.761,0.113,0,"PHTF2"
"ACSL4",0,1.78148974323753,0.83,0.183,0,"ACSL4"
"UBE2E2",0,1.8782894816188,0.883,0.237,0,"UBE2E2"
"SETD2",0,1.61709542175411,0.838,0.192,0,"SETD2"
"LINC00278",0,6.79228292588329,0.651,0.006,0,"LINC00278"
"DOCK2",0,1.57873285802166,0.973,0.328,0,"DOCK2"
"ECM1",0,2.48734185107007,0.731,0.087,0,"ECM1"
"PDE8A",0,2.3889677446872,0.741,0.097,0,"PDE8A"
"LRCH1",0,1.7548257144184,0.806,0.162,0,"LRCH1"
"STRN3",0,1.8795992253192,0.782,0.138,0,"STRN3"
"ZZEF1",0,1.88869261392177,0.765,0.122,0,"ZZEF1"
"AP3B1",0,1.59808871361371,0.944,0.301,0,"AP3B1"
"FRYL",0,1.56733040670622,0.853,0.211,0,"FRYL"
"DOCK7",0,1.60466303868801,0.836,0.195,0,"DOCK7"
"BCAS3",0,3.40739941596678,0.69,0.049,0,"BCAS3"
"EML4",0,1.52414273249386,0.903,0.263,0,"EML4"
"KIF1B",0,1.54226850594137,0.864,0.224,0,"KIF1B"
"MBOAT1",0,4.02259016445489,0.665,0.026,0,"MBOAT1"
"ANO6",0,1.55670591069759,0.823,0.184,0,"ANO6"
"PPP3R1",0,1.46701581895561,0.933,0.294,0,"PPP3R1"
"FNDC3A",0,1.48770579235958,0.874,0.236,0,"FNDC3A"
"FAM13B",0,1.81202376123269,0.789,0.151,0,"FAM13B"
"SPECC1L",0,2.33905434922839,0.72,0.082,0,"SPECC1L"
"MEF2A",0,1.52004827048445,0.955,0.317,0,"MEF2A"
"XRN1",0,1.62374993647026,0.819,0.182,0,"XRN1"
"KMT2C",0,1.59056332124385,0.96,0.323,0,"KMT2C"
"PHKB",0,1.47846851307235,0.908,0.271,0,"PHKB"
"TET3",0,1.99913604012753,0.766,0.129,0,"TET3"
"LPP",0,1.9427541958225,0.987,0.35,0,"LPP"
"ARHGAP12",0,1.45573795245212,0.88,0.244,0,"ARHGAP12"
"WDFY2",0,1.53036062529034,0.911,0.275,0,"WDFY2"
"MS4A7",0,-12.4640027689292,0,0.636,0,"MS4A7"
"DTNB",0,1.57856918805715,0.94,0.304,0,"DTNB"
"PTPRE",0,1.60002069366515,0.936,0.301,0,"PTPRE"
"MRPS24",0,4.97431923237236,0.647,0.012,0,"MRPS24"
"NCOA3",0,1.49439497934738,0.849,0.215,0,"NCOA3"
"HERC4",0,1.51834541168611,0.874,0.241,0,"HERC4"
"NFKB1",0,1.71319893925068,0.818,0.185,0,"NFKB1"
"PDS5B",0,1.56877222081315,0.853,0.22,0,"PDS5B"
"DLG1",0,1.79700753046023,0.792,0.159,0,"DLG1"
"YEATS2",0,2.32056650625057,0.723,0.09,0,"YEATS2"
"CPNE8",0,1.59024267342503,0.858,0.226,0,"CPNE8"
"MYO1E",0,1.67436245472435,0.901,0.269,0,"MYO1E"
"HELZ",0,1.44593468312668,0.949,0.318,0,"HELZ"
"RC3H1",0,1.86088824581156,0.764,0.133,0,"RC3H1"
"ZMYM4",0,1.83758656589463,0.78,0.15,0,"ZMYM4"
"DYRK1A",0,1.54010684937634,0.825,0.195,0,"DYRK1A"
"USP15",0,1.64167953732053,0.97,0.34,0,"USP15"
"DNAJC13",0,1.39021405292189,0.87,0.241,0,"DNAJC13"
"SMCHD1",0,1.62696306488474,0.815,0.186,0,"SMCHD1"
"PARP14",0,1.53597177436207,0.941,0.312,0,"PARP14"
"USP9Y",0,4.302665009625,0.652,0.023,0,"USP9Y"
"TBC1D14",0,1.39666746202079,0.959,0.33,0,"TBC1D14"
"SNX13",0,1.44009046748318,0.861,0.233,0,"SNX13"
"VPS13D",0,1.83634095244822,0.756,0.128,0,"VPS13D"
"SLMAP",0,1.91198206047363,0.762,0.134,0,"SLMAP"
"PIBF1",0,2.78717311753797,0.695,0.067,0,"PIBF1"
"MED13",0,1.45267405978094,0.83,0.203,0,"MED13"
"EVI5",0,1.47280632582476,0.942,0.315,0,"EVI5"
"CAMK2D",0,1.82572324207152,0.807,0.18,0,"CAMK2D"
"GAS7",0,1.56467459958185,0.921,0.295,0,"GAS7"
"NUMB",0,1.51838339317459,0.856,0.23,0,"NUMB"
"WWOX",0,3.04006757473267,0.709,0.083,0,"WWOX"
"STON2",0,2.38496545749599,0.713,0.087,0,"STON2"
"MAML3",0,2.98551396687083,0.692,0.067,0,"MAML3"
"ASXL2",0,1.62131847637948,0.784,0.159,0,"ASXL2"
"KLHL2",0,2.52853203544605,0.706,0.081,0,"KLHL2"
"DGKH",0,2.68647478982075,0.706,0.081,0,"DGKH"
"BMPR2",0,1.49622594668666,0.842,0.217,0,"BMPR2"
"PUM2",0,1.32497584130756,0.931,0.307,0,"PUM2"
"CUX1",0,1.48222858864078,0.87,0.246,0,"CUX1"
"TBCK",0,2.58755778362132,0.699,0.075,0,"TBCK"
"SSBP2",0,1.7333969508413,0.853,0.23,0,"SSBP2"
"TNFSF13",0,8.16929913925063,0.624,0.002,0,"TNFSF13"
"CCDC91",0,1.62192928954985,0.847,0.225,0,"CCDC91"
"UBE2W",0,1.3067991404314,0.94,0.318,0,"UBE2W"
"CEP170",0,1.46580554634251,0.961,0.34,0,"CEP170"
"DOCK10",0,1.77241597185903,0.786,0.165,0,"DOCK10"
"FGF13",0,2.52841041593996,0.974,0.353,0,"FGF13"
"ARHGAP10",0,2.59181675885826,0.704,0.083,0,"ARHGAP10"
"RFX3",0,3.45632384610362,0.66,0.039,0,"RFX3"
"EFR3A",0,1.3055249553585,0.908,0.288,0,"EFR3A"
"DDX60L",0,1.48878496509336,0.919,0.299,0,"DDX60L"
"CCNY",0,1.32278688248698,0.892,0.272,0,"CCNY"
"FBXW11",0,1.76610808098676,0.768,0.148,0,"FBXW11"
"RNF150",0,5.47678329622516,0.633,0.013,0,"RNF150"
"FBXL7",0,5.71078446348049,0.633,0.013,0,"FBXL7"
"TNRC18",0,1.31846631603067,0.815,0.195,0,"TNRC18"
"TRIP12",0,1.28504198502335,0.941,0.322,0,"TRIP12"
"ANTXR2",0,1.79321858021166,0.781,0.162,0,"ANTXR2"
"SETX",0,1.29054234544777,0.916,0.297,0,"SETX"
"NSMCE2",0,1.59743499551761,0.925,0.306,0,"NSMCE2"
"SUMF1",0,1.81656184263851,0.793,0.175,0,"SUMF1"
"TGFBI",0,1.52946456522746,0.909,0.291,0,"TGFBI"
"GABARAP",0,1.8368374688976,0.994,0.376,0,"GABARAP"
"RALGAPA2",0,1.74922421030087,0.784,0.166,0,"RALGAPA2"
"SPG11",0,1.39365150945231,0.814,0.196,0,"SPG11"
"DCAF6",0,1.81728142145318,0.768,0.151,0,"DCAF6"
"FKBP2",0,-7.70993340173535,0.012,0.629,0,"FKBP2"
"KANSL1",0,1.34920222134305,0.921,0.304,0,"KANSL1"
"GBF1",0,1.9764165255828,0.733,0.116,0,"GBF1"
"NIPBL",0,1.46480976103653,0.936,0.319,0,"NIPBL"
"PTBP2",0,3.08154293878665,0.664,0.049,0,"PTBP2"
"LCOR",0,1.42622406842968,0.811,0.196,0,"LCOR"
"CHD2",0,1.40396471218432,0.824,0.209,0,"CHD2"
"APC",0,1.56123638591642,0.8,0.186,0,"APC"
"MYCBP2",0,1.37067181391866,0.9,0.287,0,"MYCBP2"
"VPS54",0,2.22779894440516,0.709,0.096,0,"VPS54"
"ABCC1",0,1.92045127561656,0.716,0.104,0,"ABCC1"
"MTMR3",0,2.03277444928184,0.711,0.099,0,"MTMR3"
"ANKIB1",0,1.83218322274847,0.762,0.15,0,"ANKIB1"
"TLK1",0,1.32790683035201,0.867,0.256,0,"TLK1"
"AGO3",0,1.63568928978892,0.781,0.17,0,"AGO3"
"HTT",0,1.36563173491159,0.836,0.225,0,"HTT"
"RFX7",0,2.5204053851074,0.686,0.076,0,"RFX7"
"PLXDC2",0,1.71865192486844,0.919,0.31,0,"PLXDC2"
"ACER3",0,1.61829486298938,0.942,0.333,0,"ACER3"
"RIC1",0,2.19387645687579,0.707,0.098,0,"RIC1"
"R3HDM2",0,1.41311945823734,0.807,0.199,0,"R3HDM2"
"PHACTR2",0,1.56797752268798,0.829,0.221,0,"PHACTR2"
"HMBOX1",0,1.93666536537424,0.72,0.112,0,"HMBOX1"
"SLC6A6",0,1.96300906344685,0.716,0.108,0,"SLC6A6"
"ROCK2",0,1.42896928419563,0.835,0.227,0,"ROCK2"
"ARFGEF1",0,1.64535193677415,0.767,0.159,0,"ARFGEF1"
"CTTNBP2",0,1.88900580381781,0.763,0.156,0,"CTTNBP2"
"VPS13C",0,1.24983118230629,0.945,0.339,0,"VPS13C"
"PLCL2",0,1.84644977642394,0.742,0.137,0,"PLCL2"
"ARFGEF2",0,1.78489425337663,0.719,0.114,0,"ARFGEF2"
"MLLT10",0,1.39884067014715,0.865,0.261,0,"MLLT10"
"PTK2",0,2.17642758249771,0.709,0.105,0,"PTK2"
"CDYL",0,1.77978645029615,0.745,0.141,0,"CDYL"
"FOXN3",0,1.48748812233377,0.942,0.339,0,"FOXN3"
"PDSS2",0,2.21508245492679,0.71,0.107,0,"PDSS2"
"BICD1",0,2.45952881298927,0.691,0.088,0,"BICD1"
"ZNF710",0,1.93787832289519,0.717,0.114,0,"ZNF710"
"CPQ",0,1.36134354132944,0.889,0.286,0,"CPQ"
"VPS53",0,1.33758609884641,0.82,0.217,0,"VPS53"
"EIF2AK2",0,1.4319055165986,0.887,0.284,0,"EIF2AK2"
"LIMK2",0,1.94002655534392,0.777,0.176,0,"LIMK2"
"STIM1",0,1.80512798953933,0.733,0.132,0,"STIM1"
"DTNA",0,2.24276152549402,0.719,0.118,0,"DTNA"
"IFI44",0,1.70326531570767,0.757,0.156,0,"IFI44"
"EXOC6",0,1.48666888830181,0.815,0.214,0,"EXOC6"
"MTMR6",0,1.56278277998665,0.759,0.158,0,"MTMR6"
"ZNF516",0,1.98225153135744,0.692,0.091,0,"ZNF516"
"TBL1XR1",0,1.35108948075027,0.944,0.343,0,"TBL1XR1"
"MOB3B",0,3.10724896369799,0.67,0.07,0,"MOB3B"
"PPP6R2",0,1.62337055290907,0.747,0.147,0,"PPP6R2"
"XAF1",0,1.75989436653022,0.737,0.138,0,"XAF1"
"SLC11A1",0,1.86048237027705,0.73,0.132,0,"SLC11A1"
"AVL9",0,1.73379042952321,0.737,0.139,0,"AVL9"
