"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PRG2",0,2.01099547018741,0.679,0.188,0,"PRG2"
"ATP6V0C",0,2.19753670721267,0.605,0.15,0,"ATP6V0C"
"XIST",0,-3.60577272200163,0.031,0.468,0,"XIST"
"LGALS1",0,-1.48185130457928,0.235,0.665,0,"LGALS1"
"EEF1G",0,1.99556510435329,0.6,0.187,0,"EEF1G"
"PPDPF",0,-1.95378993011388,0.15,0.555,0,"PPDPF"
"GNG10",0,1.74489706267545,0.601,0.209,0,"GNG10"
"CGA",0,-2.37388185626758,0.083,0.459,0,"CGA"
"RNASEK",0,1.59311727034855,0.618,0.242,0,"RNASEK"
"TMEM176B",0,1.23878771791585,0.785,0.413,0,"TMEM176B"
"NME2",0,1.84797747575667,0.534,0.183,0,"NME2"
"TREM2",0,-2.39189320887833,0.098,0.445,0,"TREM2"
"FKBP2",0,-3.02929857288358,0.045,0.385,0,"FKBP2"
"PTP4A1",0,-4.01744176651972,0.012,0.299,0,"PTP4A1"
"AGR2",0,-3.05683249504124,0.037,0.311,0,"AGR2"
"FTL",0,0.552305449086136,0.994,0.988,0,"FTL"
"PAEP",8.215956512863e-282,-5.56981730032076,0.004,0.22,1.63826172866488e-277,"PAEP"
"MT-ATP6",5.00383845612741e-269,0.616156793987146,0.936,0.896,9.97765388151805e-265,"MT-ATP6"
"CUTA",3.53295193965881e-268,-1.18681484387672,0.25,0.575,7.04470616767967e-264,"CUTA"
"SELENOP",6.08705176793107e-268,0.557404370109966,0.965,0.919,1.21375812252546e-263,"SELENOP"
"MT-CO3",3.1252964425727e-266,0.592457479194378,0.945,0.899,6.23184110648995e-262,"MT-CO3"
"GABARAP",1.12907679130201e-264,1.31992625801009,0.66,0.366,2.2513791218562e-260,"GABARAP"
"MT-CO1",2.34945378238138e-263,0.565386684060422,0.951,0.922,4.68481084206847e-259,"MT-CO1"
"TPT1",9.24567381635353e-256,0.496321759488322,0.978,0.977,1.84358735898089e-251,"TPT1"
"HSP90AA1",1.29020688682701e-254,0.48333772402211,0.89,0.865,2.57267253233306e-250,"HSP90AA1"
"MRPL23",9.13848897069489e-249,-2.02954208145156,0.083,0.348,1.82221470075656e-244,"MRPL23"
"EMP3",7.23682539536224e-244,-1.0577871146814,0.29,0.597,1.44302298383523e-239,"EMP3"
"VIM",1.15385489660409e-235,-0.967820233890161,0.26,0.575,2.30078666382855e-231,"VIM"
"FTH1",7.35534905363127e-235,0.479813507019108,0.976,0.95,1.46665660129407e-230,"FTH1"
"CD5L",2.40981026803115e-233,-1.73607598846056,0.113,0.379,4.80516167445411e-229,"CD5L"
"SPP1",5.86487315875775e-228,0.476206804215545,0.988,0.974,1.1694557078563e-223,"SPP1"
"TMEM256",1.21931940305532e-227,-1.28223067075012,0.19,0.477,2.4313228896923e-223,"TMEM256"
"NDUFA6",4.45166155097899e-227,-1.22302683765791,0.201,0.489,8.8766131326521e-223,"NDUFA6"
"TMSB4X",2.15881668442128e-222,0.483770861907761,0.988,0.972,4.30468046873602e-218,"TMSB4X"
"DDT",4.18620574757656e-219,-1.00812101732965,0.26,0.553,8.34729426066767e-215,"DDT"
"PLTP",4.5649865578462e-216,0.478174678781673,0.951,0.927,9.10258319634533e-212,"PLTP"
"EGR1",2.73861808799816e-212,0.938316772348821,0.666,0.492,5.46080446746833e-208,"EGR1"
"POLR2L",4.16086759470207e-209,-0.711589274884155,0.429,0.711,8.29676998383593e-205,"POLR2L"
"LDHB",1.83578533113445e-207,-0.867335684598872,0.316,0.596,3.66055595028209e-203,"LDHB"
"C1QA",1.03739141758004e-206,0.501364041897138,0.959,0.905,2.06855848665461e-202,"C1QA"
"MAN2B1",1.97401291334364e-206,1.61871056954573,0.43,0.151,3.93618174920721e-202,"MAN2B1"
"MT-CYB",8.27774341561986e-206,0.545867785300088,0.92,0.882,1.6505820370746e-201,"MT-CYB"
"DNAJB4",1.76262021087889e-205,1.50708024451986,0.458,0.201,3.51466470049251e-201,"DNAJB4"
"MT-CO2",3.39478674904514e-204,0.521792522234231,0.932,0.908,6.76920477759601e-200,"MT-CO2"
"FN1",2.88705051282889e-203,1.09635391058242,0.709,0.455,5.75677872258081e-199,"FN1"
"RNASE1",1.73583753603493e-202,0.510592639785659,0.954,0.897,3.46126004685365e-198,"RNASE1"
"NEDD8",2.0160795447462e-202,-0.737926482978742,0.386,0.677,4.02006261222391e-198,"NEDD8"
"TRAPPC5",3.33365720247381e-201,1.78290400830742,0.395,0.131,6.64731246173278e-197,"TRAPPC5"
"SERPINE2",6.34679284800276e-201,1.80845512639879,0.482,0.219,1.26555049389175e-196,"SERPINE2"
"DNAJB1",7.40420238241406e-201,0.99019766634878,0.634,0.451,1.47639795505336e-196,"DNAJB1"
"SEMA4A",3.36693613333069e-200,2.94563842308766,0.241,0.031,6.71367064986139e-196,"SEMA4A"
"AOC1",2.0831373639051e-199,2.29979584949158,0.354,0.108,4.15377590362676e-195,"AOC1"
"RPL17",2.41395547174865e-199,0.878535351967045,0.77,0.617,4.81342721066681e-195,"RPL17"
"PSMB3",5.20707103277534e-197,-0.815878242858542,0.318,0.605,1.0382899639354e-192,"PSMB3"
"NDUFA3",7.8703167052263e-195,-0.829441998736364,0.31,0.596,1.56934115102212e-190,"NDUFA3"
"CHTF8",6.0736156038425e-194,-3.62921339045673,0.013,0.18,1.2110789514062e-189,"CHTF8"
"MT-ND1",6.94619340400187e-194,0.572111280506915,0.9,0.864,1.38507096475797e-189,"MT-ND1"
"CSNK2B",1.00913919912302e-192,-0.91130134386692,0.285,0.561,2.0122235630513e-188,"CSNK2B"
"RPS4Y1",5.90264636620138e-192,1.19090121114304,0.576,0.261,1.17698768542056e-187,"RPS4Y1"
"TUBB",4.83785412888365e-191,-0.744952209194204,0.396,0.671,9.646681132994e-187,"TUBB"
"SNRPF",3.53261795946402e-190,-1.04170411491572,0.238,0.502,7.04404021117126e-186,"SNRPF"
"LSM5",1.22839851860032e-189,-1.28789234940128,0.16,0.409,2.44942664608904e-185,"LSM5"
"PPP1CA",4.83413896273911e-189,-0.888525876669085,0.318,0.579,9.63927309170178e-185,"PPP1CA"
"MT-ND4",1.48973968091048e-187,0.531274038496019,0.912,0.883,2.9705409237355e-183,"MT-ND4"
"SNRPE",2.03090703907252e-187,-1.04299333701888,0.241,0.5,4.04962863591061e-183,"SNRPE"
"SOD2",2.3562098872778e-186,0.872713683331007,0.654,0.468,4.69828251523193e-182,"SOD2"
"SEC61G",5.0638093805518e-186,-0.722301082728663,0.349,0.621,1.00972359048203e-181,"SEC61G"
"JUND",7.98234374152091e-184,0.771019307134708,0.694,0.545,1.59167934205927e-179,"JUND"
"UQCC2",2.09936630307484e-181,-1.0679756711726,0.215,0.472,4.18613640833124e-177,"UQCC2"
"HSP90AB1",2.15785894816569e-180,0.460104974424973,0.841,0.812,4.30277074264239e-176,"HSP90AB1"
"EEF1A1",4.17261430520582e-179,0.410830853707697,0.976,0.979,8.3201929245804e-175,"EEF1A1"
"ESD",4.20386449426797e-179,-0.92152182807364,0.262,0.521,8.38250580157034e-175,"ESD"
"UBC",6.44369003359291e-178,0.422807882123342,0.903,0.88,1.28487179269843e-173,"UBC"
"GSTA4",1.01970434402461e-177,-1.93087538403224,0.057,0.255,2.03329046198507e-173,"GSTA4"
"TIMM13",1.34914323304653e-176,-0.897064763197781,0.275,0.526,2.69019160669479e-172,"TIMM13"
"C4BPB",1.54491341454627e-176,1.30526755759204,0.453,0.182,3.08055734860526e-172,"C4BPB"
"FABP5",5.94864009572919e-176,-0.741822289713534,0.425,0.677,1.1861588350884e-171,"FABP5"
"NR4A3",6.02882157556855e-176,2.11183374669418,0.275,0.06,1.20214702216837e-171,"NR4A3"
"ECH1",9.8474918545791e-176,-0.955392358403468,0.24,0.498,1.96358987580307e-171,"ECH1"
"NDUFS7",1.85134198845176e-175,-0.829679866581043,0.307,0.567,3.69157592497281e-171,"NDUFS7"
"BANF1",5.14054071452859e-175,-0.861075997858882,0.295,0.554,1.025023818477e-170,"BANF1"
"POLR2G",5.36811420976229e-174,-1.01530583108286,0.218,0.47,1.0704019734266e-169,"POLR2G"
"F13A1",1.1291915626841e-173,0.383806615932414,0.992,0.943,2.2516079759921e-169,"F13A1"
"NDUFB1",3.67080359700351e-173,-0.70041203077072,0.391,0.654,7.31958237242501e-169,"NDUFB1"
"ATP5MC1",1.82900920012249e-172,-0.977501360652455,0.22,0.469,3.64704434504425e-168,"ATP5MC1"
"DNAJA4",2.10697538994187e-172,1.62187990231122,0.369,0.142,4.20130892754409e-168,"DNAJA4"
"IL2RA",9.10641727876254e-172,2.21709602007788,0.254,0.051,1.81581960538525e-167,"IL2RA"
"WDR83OS",1.60542615061365e-169,-0.733578488067645,0.312,0.585,3.20121974432363e-165,"WDR83OS"
"LST1",1.97480417930469e-168,-0.712027735212872,0.334,0.608,3.93775953353355e-164,"LST1"
"CD209",5.47660062685516e-168,1.41400845356044,0.418,0.167,1.09203416499492e-163,"CD209"
"MT-ND3",5.94086642283026e-168,0.537669648981888,0.896,0.872,1.18460876471235e-163,"MT-ND3"
"USP9Y",1.0605200975223e-167,2.21382743205973,0.255,0.053,2.11467707445946e-163,"USP9Y"
"NDUFS6",2.0912088773363e-167,-0.686045647412309,0.371,0.63,4.16987050140859e-163,"NDUFS6"
"LSM7",1.06704259573295e-166,-0.881878252842844,0.259,0.507,2.1276829358915e-162,"LSM7"
"BAG3",1.50089832227244e-166,1.54986353188455,0.385,0.157,2.99279125461125e-162,"BAG3"
"SNRPD3",2.23636270651619e-165,-0.951195903604401,0.225,0.469,4.45930723679329e-161,"SNRPD3"
"STMN1",3.88045707630017e-165,-0.681387220376736,0.391,0.641,7.73763141014253e-161,"STMN1"
"ACTB",4.15666676966454e-165,0.391450868398375,0.981,0.971,8.28839353871109e-161,"ACTB"
"PTRHD1",8.60501378733683e-165,-1.27656807148527,0.14,0.366,1.71583974919496e-160,"PTRHD1"
"ABRACL",6.09425898800843e-164,-0.778413538328159,0.322,0.572,1.21519524220888e-159,"ABRACL"
"B2M",8.51063595165122e-164,0.44020290197589,0.958,0.975,1.69702080875925e-159,"B2M"
"NDUFS3",1.26774763024228e-163,-0.983970911994487,0.205,0.449,2.52788877470312e-159,"NDUFS3"
"LAP3",1.6189087759293e-163,0.631223244968861,0.805,0.686,3.22810409920303e-159,"LAP3"
"CYTOR",4.12547964327718e-163,-2.15851987550132,0.046,0.225,8.22620640869469e-159,"CYTOR"
"SNRPD2",5.39709672205482e-163,-0.665215415006151,0.391,0.636,1.07618108637773e-158,"SNRPD2"
"LSM2",4.49055672149251e-159,-1.17423708735961,0.161,0.388,8.95417010265606e-155,"LSM2"
"MCTS1",3.71183346664065e-158,-1.03445264665441,0.168,0.403,7.40139593248145e-154,"MCTS1"
"COX7B",1.86380675699637e-157,-0.574950190644323,0.446,0.692,3.71643067345075e-153,"COX7B"
"EMB",2.26279048484713e-157,1.23419619507318,0.46,0.201,4.51200422678518e-153,"EMB"
"AEBP1",4.37022642229081e-157,3.19296242479917,0.193,0.025,8.71423148604787e-153,"AEBP1"
"EGR2",7.60560112559015e-157,1.71099333006036,0.308,0.094,1.51655686444268e-152,"EGR2"
"MDH2",8.27190961605857e-157,-0.926028005921433,0.224,0.46,1.64941877744208e-152,"MDH2"
"SNRPD1",8.31568426001449e-157,-0.913358113211198,0.24,0.48,1.65814744144689e-152,"SNRPD1"
"MT-ND2",1.03027967565689e-156,0.531264927072125,0.89,0.853,2.05437767325984e-152,"MT-ND2"
"PSMA4",2.16196962976148e-156,-0.794189869412273,0.325,0.566,4.31096744174439e-152,"PSMA4"
"NR4A1",8.46657640948984e-156,1.20828250309431,0.424,0.193,1.68823533605227e-151,"NR4A1"
"FABP3",2.25300224953083e-155,-2.28224617180121,0.044,0.213,4.49248648556448e-151,"FABP3"
"NME1",6.34397602520915e-155,-1.32006226442028,0.115,0.325,1.2649888194267e-150,"NME1"
"NUPR1",7.6176048738085e-155,1.5566038092028,0.417,0.188,1.51895041183742e-150,"NUPR1"
"CCDC167",1.93726920032322e-154,-1.62501154961126,0.074,0.265,3.86291478544451e-150,"CCDC167"
"NDUFA2",7.43316724789676e-154,-0.687333193277221,0.349,0.597,1.48217354923061e-149,"NDUFA2"
"SMDT1",2.70300290693201e-153,-0.760192554657665,0.26,0.51,5.38978779642242e-149,"SMDT1"
"LIMD2",1.81588334552813e-152,-1.7491118340986,0.084,0.274,3.62087139098308e-148,"LIMD2"
"TIMM8B",2.82649150838803e-152,-0.789545612811219,0.294,0.538,5.63602406772574e-148,"TIMM8B"
"ZSCAN16-AS1",6.29269905379083e-152,-1.27488198988626,0.12,0.331,1.25476419132589e-147,"ZSCAN16-AS1"
"SNCA",9.17653738546996e-152,-1.97607980386616,0.045,0.215,1.82980155466271e-147,"SNCA"
"HSD17B10",2.98712007004007e-151,-1.27036016764504,0.125,0.337,5.9563174196599e-147,"HSD17B10"
"ATP5PO",9.13184254003565e-151,-0.590056485049924,0.439,0.673,1.82088940248311e-146,"ATP5PO"
"PAPPA2",9.42371037758546e-151,2.80307302453925,0.238,0.055,1.87908784929054e-146,"PAPPA2"
"NNMT",1.57623312370867e-150,1.66680267067614,0.373,0.151,3.14300884867509e-146,"NNMT"
"CHCHD6",5.666976122655e-150,-1.63535385503762,0.09,0.282,1.12999503885741e-145,"CHCHD6"
"ITM2B",6.18340418358632e-150,0.393460330936444,0.964,0.98,1.23297079420711e-145,"ITM2B"
"CD93",7.7283993808508e-150,1.07730937063782,0.539,0.283,1.54104283654165e-145,"CD93"
"PHPT1",2.60963094287688e-149,-0.718530400096967,0.301,0.547,5.20360410009651e-145,"PHPT1"
"ATP5MC3",6.04936730496569e-149,-0.483609621309188,0.488,0.72,1.20624384061016e-144,"ATP5MC3"
"CR1",2.11368378862065e-148,0.889290442092054,0.623,0.375,4.21468547450958e-144,"CR1"
"MRC1",2.79399723967435e-148,0.469753057415013,0.87,0.811,5.57123049591065e-144,"MRC1"
"COX5A",1.09227870241755e-147,-0.606625444266065,0.391,0.623,2.1780037326206e-143,"COX5A"
"HINT2",1.52904471544784e-147,-1.39534032189599,0.11,0.312,3.048915162603e-143,"HINT2"
"NHP2",2.65712988397645e-147,-1.14878896635688,0.152,0.368,5.29831698864905e-143,"NHP2"
"EIF5A",3.08051832311674e-147,-0.88875096375023,0.219,0.452,6.14255353629477e-143,"EIF5A"
"LTBP2",2.50669815547504e-146,1.81126827706041,0.304,0.1,4.99835612201724e-142,"LTBP2"
"UQCRC1",4.61212769442848e-146,-1.00061072711499,0.198,0.417,9.19658262269039e-142,"UQCRC1"
"TMEM141",1.26165897525291e-145,-1.09301298862557,0.183,0.402,2.51574799665431e-141,"TMEM141"
"NDUFB9",1.76743097827808e-145,-0.809837340505093,0.295,0.526,3.52425737068649e-141,"NDUFB9"
"NFKBIZ",3.13847001819521e-145,1.03439798958087,0.511,0.308,6.25810921628125e-141,"NFKBIZ"
"NUTF2",7.46958103469026e-145,-1.1313823195736,0.168,0.383,1.48943445831724e-140,"NUTF2"
"PCLAF",1.37790137179218e-144,-2.53871031673294,0.021,0.164,2.7475353353536e-140,"PCLAF"
"KLF4",1.62320428917186e-144,0.966735791852121,0.552,0.36,3.23666935260868e-140,"KLF4"
"VPS29",1.99692960122301e-144,-0.546723109020867,0.419,0.661,3.98187762483867e-140,"VPS29"
"MRPL12",2.29591898153545e-144,-1.33174752868258,0.119,0.319,4.57806244918168e-140,"MRPL12"
"HSPH1",3.5609531487162e-144,0.902497537990153,0.562,0.422,7.10054057854011e-140,"HSPH1"
"ROMO1",6.36932977129474e-144,-0.767815873052879,0.272,0.507,1.27004435639617e-139,"ROMO1"
"MZT2A",3.04401797654857e-143,-1.27642756879304,0.115,0.314,6.06977184523784e-139,"MZT2A"
"CEBPD",4.1887892379333e-143,0.700975621726891,0.692,0.557,8.352445740439e-139,"CEBPD"
"SLIRP",4.91297076831537e-143,-0.779415272503507,0.27,0.504,9.79646371202085e-139,"SLIRP"
"RASGEF1B",9.13257116860193e-143,1.11859502082277,0.467,0.246,1.82103469101922e-138,"RASGEF1B"
"SERPINE1",9.57504174936232e-143,2.25780695401809,0.285,0.092,1.90926332482285e-138,"SERPINE1"
"COX7A2",2.80726806250725e-142,-0.506593302533651,0.479,0.709,5.59769251663946e-138,"COX7A2"
"ICAM4",5.60252639085712e-142,2.25303720698968,0.209,0.039,1.11714376233691e-137,"ICAM4"
"TIMP3",1.33371867938745e-141,1.40465218391611,0.527,0.329,2.65943504669858e-137,"TIMP3"
"MCRIP1",2.17765055947894e-141,-0.828751590864258,0.211,0.444,4.34223521560101e-137,"MCRIP1"
"KDM6B",3.19722360837242e-141,1.39587783004989,0.351,0.137,6.3752638750946e-137,"KDM6B"
"NDUFS8",4.83245990519922e-141,-0.720044586889116,0.301,0.534,9.63592505096725e-137,"NDUFS8"
"MRPL52",6.9187995393054e-141,-0.831420501536988,0.258,0.49,1.3796086281375e-136,"MRPL52"
"PSMC4",6.95343128048666e-141,-0.997248488471341,0.172,0.393,1.38651419732904e-136,"PSMC4"
"MGST3",4.38226846745066e-140,-0.475884215142094,0.483,0.714,8.73824332409662e-136,"MGST3"
"S100A6",4.6698920568955e-140,-0.68793629583259,0.327,0.565,9.31176476144963e-136,"S100A6"
"MTCH2",7.04293279690229e-140,-1.08849939625376,0.15,0.361,1.40436079970232e-135,"MTCH2"
"JUN",7.93075080549614e-140,0.484594021936351,0.752,0.721,1.58139171061593e-135,"JUN"
"NAA38",8.08139323897553e-140,-0.771501977345464,0.277,0.509,1.61142981185172e-135,"NAA38"
"S100A1",1.45245858184456e-139,-1.30797442160575,0.1,0.297,2.89620241219805e-135,"S100A1"
"NAA20",4.06779387956164e-139,-0.641140129453325,0.375,0.611,8.11118099584591e-135,"NAA20"
"LY6E",6.65728369652299e-139,-1.08748344618952,0.13,0.339,1.32746236908668e-134,"LY6E"
"SNRPG",3.63946834568101e-138,-0.675606723718447,0.365,0.584,7.25709988128793e-134,"SNRPG"
"POLR2I",3.6795312224857e-138,-1.06908299853382,0.161,0.37,7.33698525763649e-134,"POLR2I"
"MRPL41",2.82684576139806e-137,-0.782307984973257,0.289,0.513,5.63673044822773e-133,"MRPL41"
"ATP5ME",3.79885704327312e-137,-0.509843436332766,0.503,0.723,7.5749209442866e-133,"ATP5ME"
"LAMTOR5",4.72391642423578e-137,-0.591143828601116,0.409,0.635,9.41948934992614e-133,"LAMTOR5"
"PSME2",6.43969848532828e-137,-0.861347127406336,0.225,0.453,1.28407587797446e-132,"PSME2"
"ATP5IF1",7.27807138172106e-137,-0.519889869703019,0.405,0.661,1.45124743351518e-132,"ATP5IF1"
"TRAPPC2L",7.74756768877004e-137,-0.73858474284008,0.275,0.502,1.54486499714075e-132,"TRAPPC2L"
"HSPA1A",2.01252085208856e-136,0.760174890300591,0.648,0.584,4.01296657906459e-132,"HSPA1A"
"SNRPB2",7.86218402346543e-136,-0.727543472635376,0.32,0.543,1.56771949427901e-131,"SNRPB2"
"YWHAE",1.09529954300282e-135,-0.526653343873526,0.436,0.683,2.18402728874762e-131,"YWHAE"
"CENPW",1.14555034241736e-135,-2.51107175150104,0.022,0.156,2.28422738278022e-131,"CENPW"
"MX2",1.45234506719215e-135,1.83612606849297,0.281,0.088,2.89597606398114e-131,"MX2"
"MRPL51",2.70585520300997e-135,-0.728479222215455,0.298,0.524,5.39547527480189e-131,"MRPL51"
"FXYD5",1.60885959085477e-134,-0.884232790518194,0.253,0.47,3.2080660241644e-130,"FXYD5"
"EIF3L",1.0102774887118e-133,-0.70126976363748,0.301,0.525,2.01449331249133e-129,"EIF3L"
"FCGRT",5.70452548710026e-133,0.398643621774503,0.93,0.899,1.13748238212779e-128,"FCGRT"
"PSMB6",9.31713429190437e-133,-0.627252675298926,0.34,0.567,1.85783657780573e-128,"PSMB6"
"CTSZ",2.13903488107545e-132,0.483759578508353,0.859,0.804,4.26523555286445e-128,"CTSZ"
"BEX4",2.4613316727851e-132,-1.73384292313044,0.04,0.191,4.90789535553349e-128,"BEX4"
"TMEM176A",5.33461338523925e-132,0.937602601237201,0.567,0.316,1.06372190901671e-127,"TMEM176A"
"GTF2H5",5.42578362705911e-132,-0.796607598685282,0.237,0.458,1.08190125523559e-127,"GTF2H5"
"PRDX5",8.82952399867329e-132,-0.557123097664347,0.375,0.607,1.76060708533545e-127,"PRDX5"
"NUDT5",7.97140208630094e-131,-0.816906079700774,0.271,0.49,1.58949757600841e-126,"NUDT5"
"TMEM35B",3.20191466930191e-130,2.02743646051825,0.231,0.058,6.38461785058801e-126,"TMEM35B"
"ERH",3.72886726270957e-130,-0.574968745027813,0.392,0.609,7.43536132184289e-126,"ERH"
"CKS1B",6.49257918643867e-130,-1.48298254348385,0.092,0.268,1.29462028977587e-125,"CKS1B"
"C1QB",9.5345278689454e-130,0.451992487576369,0.921,0.872,1.90118485706771e-125,"C1QB"
"LAMTOR2",1.28282747861302e-129,-0.508340047738537,0.427,0.649,2.55795799235436e-125,"LAMTOR2"
"MRPL27",1.86155414465015e-129,-0.977306007106763,0.182,0.388,3.71193896443239e-125,"MRPL27"
"PSMB7",3.63995022742441e-129,-0.708421923048629,0.284,0.5,7.25806075348427e-125,"PSMB7"
"MRPS36",8.13597429361281e-128,-0.897566465545225,0.176,0.387,1.6223132741464e-123,"MRPS36"
"NDUFB3",1.63827485911838e-127,-0.639345697322688,0.331,0.551,3.26672006908206e-123,"NDUFB3"
"RBX1",1.6806082458762e-127,-0.472339495117076,0.437,0.665,3.35113284227715e-123,"RBX1"
"CD83",2.58379332901289e-127,0.870075139460486,0.517,0.322,5.1520838980517e-123,"CD83"
"MIR4435-2HG",2.90587512096307e-127,-2.12443581458892,0.028,0.164,5.79431499120037e-123,"MIR4435-2HG"
"RPLP1",4.45629170992028e-127,0.377507382750256,0.965,0.975,8.88584566958103e-123,"RPLP1"
"TIMM10",5.02146313820579e-127,-1.04244529651745,0.139,0.333,1.00127974975823e-122,"TIMM10"
"KLF2",7.39780863804966e-127,0.621351174044926,0.672,0.575,1.4751230424271e-122,"KLF2"
"CYC1",1.59943643124909e-126,-0.941341492015919,0.215,0.42,3.18927624391068e-122,"CYC1"
"HIGD2A",1.92857677245542e-126,-0.586408735865614,0.382,0.6,3.84558208427611e-122,"HIGD2A"
"FOS",5.97510585080476e-126,0.357037675569226,0.841,0.848,1.19143610665047e-121,"FOS"
"SUPT4H1",6.19619338100363e-126,-0.818773071953744,0.236,0.453,1.23552096017212e-121,"SUPT4H1"
"RAN",7.38934957538329e-126,-0.538888353766908,0.443,0.65,1.47343630533143e-121,"RAN"
"NOTUM",9.14609050039267e-126,2.11477994509255,0.296,0.113,1.8237304457783e-121,"NOTUM"
"POLR2E",1.7087609247897e-125,-0.681528992177369,0.323,0.533,3.40726928403066e-121,"POLR2E"
"POLR2F",3.00472035918949e-125,-0.722426680411629,0.245,0.46,5.99141239622385e-121,"POLR2F"
"DMAC1",8.07658311894506e-125,-0.684823942095,0.323,0.536,1.61047067391765e-120,"DMAC1"
"RENBP",1.13899890948276e-124,-1.00986011918865,0.227,0.428,2.27116382550862e-120,"RENBP"
"BRI3",1.81779733367449e-124,0.555390327103786,0.872,0.776,3.62468788334694e-120,"BRI3"
"HMGA1",1.88009657617167e-124,-0.889226533284574,0.217,0.42,3.7489125728863e-120,"HMGA1"
"SSBP1",2.70275407643915e-124,-0.615661983055634,0.319,0.542,5.38929162841967e-120,"SSBP1"
"MRPS21",2.73340683905276e-124,-0.606554723054195,0.393,0.61,5.45041323707121e-120,"MRPS21"
"UQCRFS1",2.84748488050589e-124,-0.833426798906777,0.263,0.471,5.67788485172875e-120,"UQCRFS1"
"ATP5PF",4.1677661228079e-124,-0.464246607772852,0.447,0.668,8.31052564887894e-120,"ATP5PF"
"RANBP1",5.21937600474404e-124,-0.830554810905542,0.223,0.429,1.04074357534596e-119,"RANBP1"
"ALKBH7",5.47968210049351e-124,-0.704206023397444,0.271,0.487,1.09264861083841e-119,"ALKBH7"
"TRAPPC1",7.47467179635947e-124,-0.580111795850561,0.367,0.585,1.49044955619408e-119,"TRAPPC1"
"EIF3K",8.83617498569969e-124,-0.479736067645025,0.426,0.663,1.76193329214852e-119,"EIF3K"
"RPA3",9.15408424976069e-124,-1.07118267664317,0.159,0.353,1.82532439940228e-119,"RPA3"
"NDUFB7",1.05326689242712e-123,-0.514555697300439,0.411,0.627,2.10021418349968e-119,"NDUFB7"
"NDUFA12",1.69297931495836e-123,-0.716895456032685,0.237,0.451,3.37580075402697e-119,"NDUFA12"
"PSME1",3.092383781725e-123,-0.57363347796881,0.33,0.562,6.16621326075965e-119,"PSME1"
"CTSA",4.66383985459819e-123,-0.792738190416933,0.271,0.48,9.29969667006879e-119,"CTSA"
"MAF",1.06188410492516e-122,0.402894039817784,0.897,0.868,2.11739690522076e-118,"MAF"
"NDUFS5",1.62469452716596e-122,-0.487414693330641,0.441,0.656,3.23964088716893e-118,"NDUFS5"
"MYDGF",2.67982984206724e-122,-0.632239483274273,0.35,0.561,5.34358070508208e-118,"MYDGF"
"DUSP2",3.18631615939607e-122,1.40359128126567,0.325,0.135,6.35351442183576e-118,"DUSP2"
"LIPA",3.8871931366861e-122,-0.665941123091463,0.364,0.572,7.75106311455209e-118,"LIPA"
"ANAPC11",5.09524751522992e-122,-0.471178409482415,0.436,0.653,1.01599235453685e-117,"ANAPC11"
"RNF181",7.62109795613538e-122,-0.57295311569673,0.352,0.574,1.51964693245339e-117,"RNF181"
"DNAJA1",7.71690463271806e-122,0.590342326352507,0.672,0.606,1.53875078376398e-117,"DNAJA1"
"UQCRH",1.33468844751595e-121,-0.445980450730543,0.504,0.717,2.6613687643468e-117,"UQCRH"
"OSTC",1.49616185887149e-121,-0.674745587506246,0.29,0.507,2.98334674658976e-117,"OSTC"
"PGAM1",1.69229691282198e-121,-0.747028711276881,0.24,0.45,3.37444004416703e-117,"PGAM1"
"COX7A2L",1.94921815456238e-121,-0.687506651547112,0.281,0.494,3.88674100019738e-117,"COX7A2L"
"TIMM17B",5.93610852139512e-121,-1.04411640527652,0.172,0.364,1.18366003916619e-116,"TIMM17B"
"TFPT",1.4315177311886e-120,-1.06527730353283,0.141,0.333,2.85444635599006e-116,"TFPT"
"HSPA1B",1.65409649926186e-120,0.903372501287929,0.547,0.414,3.29826841952814e-116,"HSPA1B"
"PIN4",1.73300103017007e-120,-1.00182417133951,0.167,0.361,3.45560405415912e-116,"PIN4"
"CAPG",2.16312789970138e-120,-1.11960744257685,0.101,0.28,4.31327703200456e-116,"CAPG"
"TXNIP",2.20053704210664e-120,0.660964676965528,0.758,0.63,4.38787086196064e-116,"TXNIP"
"VPS25",1.31069694951237e-119,-1.01951781514354,0.152,0.341,2.61352971732766e-115,"VPS25"
"TOMM22",1.40327549211362e-119,-1.01681244644754,0.172,0.364,2.79813133127456e-115,"TOMM22"
"GNAS",1.57649650364124e-119,0.514925087838956,0.844,0.784,3.14353402826064e-115,"GNAS"
"NDUFB6",1.78057833466328e-119,-0.864529333258234,0.206,0.409,3.55047319931857e-115,"NDUFB6"
"NDUFB10",1.89473984518351e-119,-0.510779244098603,0.381,0.596,3.77811125129593e-115,"NDUFB10"
"MT-ATP8",2.85514161676611e-119,1.23409667452952,0.36,0.156,5.69315238383163e-115,"MT-ATP8"
"TIMP1",2.86459996884571e-119,-0.739625598315652,0.247,0.459,5.71201233787834e-115,"TIMP1"
"FLT1",3.08091790511183e-119,1.82621264173351,0.347,0.159,6.14335030279299e-115,"FLT1"
"TIPARP",3.70620725250859e-119,1.32060741981665,0.341,0.148,7.39017726150213e-115,"TIPARP"
"SUB1",5.94351567332348e-119,-0.456889896126918,0.497,0.696,1.1851370252607e-114,"SUB1"
